Model,Age,Art,Sport,Book/Films,Science,Travel,Cooking,Politics
Jeep Grand Cherokee 80th Anniversary,26,1,0,1,0,0,1,0
Volkswagen Tiguan 2.0T SEL,40,1,0,1,1,1,1,0
INFINITI Q70 3.7X,53,0,0,0,1,1,1,1
Honda Pilot Touring 7-Passenger,37,1,0,1,1,0,0,0
INFINITI QX80 Luxe,35,1,1,0,1,0,0,1
Mercedes-Benz CLS 450 Base,22,0,1,0,1,0,1,0
Kia Optima S,28,1,0,1,1,1,0,0
Audi Q7 2.0T Premium Plus,24,1,0,0,1,1,0,1
Ford Fusion SE,24,0,0,0,0,1,1,0
Toyota 4Runner SR5 Premium,58,1,1,1,1,0,1,0
Acura TLX Tech,41,0,1,1,0,0,1,1
Land Rover Range Rover Sport SE,25,0,0,1,0,1,0,1
INFINITI Q50 Base,25,0,1,1,0,0,0,0
Acura MDX 3.5L w/Technology Package,55,1,0,1,1,0,1,0
Mazda CX-9 Carbon Edition,41,0,0,0,1,1,1,1
Chrysler Town & Country Touring Plus,46,0,1,1,0,1,0,1
BMW 428 i SULEV,23,0,1,0,1,0,1,1
Toyota RAV4 Sport,42,1,0,0,0,1,0,1
BMW 435 i xDrive,60,1,1,1,0,0,1,0
Acura TL 3.2,18,1,0,1,0,0,1,0
Acura MDX Base,37,1,1,0,0,0,1,0
Cadillac Escalade Platinum,59,0,0,1,1,1,0,1
Jaguar F-TYPE R,21,1,0,1,0,0,0,1
GMC Acadia SLE,20,1,0,0,1,1,1,1
Porsche Cayenne Platinum Edition,45,0,0,1,1,0,1,0
Acura TLX FWD,39,1,1,1,1,0,0,0
Land Rover Range Rover Evoque SE,30,1,0,0,0,0,1,1
BMW 530 i,42,0,1,0,1,0,1,0
Toyota C-HR XLE,24,0,1,1,1,1,0,1
Kia Forte FE,53,0,0,1,0,1,0,0
Jaguar F-PACE 25t R-Sport,53,1,0,1,1,1,0,0
Hyundai Santa Fe XL Limited Ultimate,51,0,0,1,0,0,1,1
Subaru Forester Premium,35,0,1,1,0,1,0,0
Hyundai Tucson SEL,38,0,0,0,1,0,1,0
Kia Sorento S,33,1,0,1,1,1,1,1
Acura RDX AcuraWatch Plus Pkg,41,0,1,1,1,0,0,0
Chrysler Town & Country Limited Platinum,38,1,1,0,0,1,0,1
Land Rover Range Rover Sport HSE,20,0,1,1,0,1,1,0
Mercedes-Benz E-Class E 400,34,0,0,0,1,1,1,1
Nissan Juke SV,22,0,0,1,1,1,1,1
Subaru Impreza 2.0i Premium,36,1,0,0,0,1,1,1
Jaguar F-PACE SVR,29,1,1,0,0,1,0,1
Toyota Camry XLE,21,0,0,0,1,0,0,0
Volkswagen Passat 2.0T R-Line,41,0,0,1,1,1,0,1
Toyota Tundra SR,24,1,1,1,0,1,1,1
Honda CR-V LX,35,0,0,0,1,0,0,1
Hyundai Santa Fe SEL,50,0,0,1,0,1,1,0
Jeep Grand Cherokee SRT,32,0,1,0,0,1,1,0
Jaguar F-PACE 35t R-Sport,58,0,0,1,1,1,1,0
Chevrolet Trax LT,36,1,1,0,0,0,0,0
BMW X5 M50i,25,0,1,1,0,1,1,0
Acura RDX A-Spec,24,1,1,0,0,0,1,1
Ford EcoSport Titanium,39,1,0,1,0,1,1,1
Subaru Ascent Limited 8-Passenger,54,0,1,1,0,1,1,1
Hyundai Tucson GLS,51,1,0,1,1,1,1,0
Land Rover Discovery Landmark,51,0,0,0,0,0,1,1
Chevrolet Cruze LT,33,1,1,1,1,0,0,1
Mercedes-Benz SL-Class SL500 Roadster,58,1,1,0,1,0,0,0
Land Rover Range Rover 5.0L Supercharged Autobiography,53,0,1,1,0,0,0,1
Land Rover Range Rover 5.0 Supercharged LWB,39,1,1,1,0,0,0,1
Toyota Tacoma,54,0,1,0,1,0,0,1
Volkswagen Atlas Cross Sport 3.6L V6 SEL,55,0,1,0,1,0,0,1
Audi A8 L 4.0T,48,0,0,0,0,1,1,0
Cadillac Escalade Premium,43,1,0,0,0,1,1,1
Chevrolet Equinox LT,31,0,0,1,0,0,0,1
Porsche Macan 4DR SUV AWD,45,0,1,0,1,0,0,1
Audi Q7 3.0 Premium Plus,57,1,1,1,1,1,1,0
Land Rover Range Rover 5.0L Supercharged,53,0,1,0,1,0,1,1
Cadillac CTS 2.0L Turbo Luxury,34,0,0,1,1,0,1,1
Subaru Ascent Premium,19,0,0,1,0,0,1,0
Tesla Model Y Performance,56,0,1,1,0,0,0,0
Lamborghini Urus,47,0,0,1,1,1,0,0
MINI Countryman Cooper S,19,0,1,1,0,0,1,1
Volvo XC90 T6 Inscription 7 Passenger,54,0,1,1,0,1,0,0
Audi Q5 S line Premium,27,0,0,0,0,1,0,1
Dodge Grand Caravan GT,59,1,0,1,1,0,1,1
Dodge Charger SRT 392,38,0,1,1,0,1,0,0
Jaguar F-PACE S,40,0,0,1,0,0,1,0
Lexus ES 350 Luxury,55,1,1,0,1,1,1,0
Volkswagen Beetle Auto 1.8T,31,0,0,1,0,1,1,0
Chevrolet Corvette Stingray Z51,29,0,0,1,0,0,0,0
Audi Q5 2.0T Tech Premium,28,1,0,0,0,1,1,0
Volvo XC90 T6 Momentum,36,0,0,0,1,0,0,1
Hyundai Elantra Limited,38,0,0,0,0,1,1,1
BMW X3 xDrive30i,56,1,1,1,1,0,1,1
Chevrolet Malibu 1LT,24,1,1,0,1,0,0,1
Lexus LC 500 Base,50,0,0,1,1,1,1,1
Audi S4 3.0T Premium Plus,46,1,1,1,1,1,0,1
Lexus UX 250h Base,23,1,0,0,1,0,0,1
Volkswagen Jetta SE,54,1,1,0,1,0,0,0
Acura MDX 3.7L Advance,47,1,0,0,1,0,0,0
Cadillac DTS Performance,55,1,1,0,0,0,1,1
Audi Q3 S line Premium Plus,46,1,1,1,0,1,1,1
Ferrari GTC4Lusso V12,48,0,1,1,1,0,0,1
Mercedes-Benz M-Class ML 350,20,0,1,1,0,1,1,0
Jeep Grand Cherokee High Altitude,25,1,0,1,0,1,1,0
Buick Enclave Avenir,46,1,1,1,1,1,1,0
Hyundai Santa Fe Sport 2.0L Turbo,46,0,1,0,0,0,0,1
Acura TLX V6,38,0,1,0,1,1,1,1
Chevrolet Equinox 1LT,27,1,0,0,1,1,1,1
Hyundai Kona SEL,34,0,1,0,0,0,1,0
Volvo V90 Cross Country T6,33,0,0,0,0,1,0,1
Lexus ES 350 F Sport,47,1,0,1,1,0,1,1
Acura TSX 2.4,34,1,1,1,0,0,1,1
RAM 1500 Rebel,20,1,1,1,1,0,0,1
Subaru Impreza 2.0i,43,0,0,1,0,1,0,1
BMW 640 Gran Turismo i xDrive,39,0,0,1,0,1,0,0
Kia Forte LX,34,1,0,0,0,0,1,1
GMC Acadia SLE-2,56,1,1,1,1,1,0,1
Porsche 911 Carrera GTS,56,1,0,1,1,0,1,0
Mercedes-Benz GLB 250 Base,53,1,1,1,0,0,1,1
Tesla Model X 70D,47,0,1,0,1,1,1,0
Nissan Versa 1.6 S+,33,0,1,0,1,0,1,1
Mercedes-Benz GLE 450 AWD 4MATIC,58,0,0,0,0,0,0,1
Chrysler 300C Base,56,1,1,0,1,0,0,1
Hyundai Palisade Limited,57,1,1,1,0,1,1,1
Kia Seltos S,38,0,0,0,1,1,1,1
BMW 530 i xDrive,20,1,0,0,1,0,0,0
Cadillac CT6 3.6L Luxury,31,1,0,1,0,0,0,0
Audi A6 55 Premium Plus,20,1,1,0,1,1,1,0
Mercedes-Benz AMG S 63 4MATIC,44,1,0,0,1,0,1,0
FIAT 500L Easy,23,0,0,0,1,1,0,1
Cadillac Escalade Luxury,37,1,0,0,1,0,0,1
Ford Expedition Limited,18,0,0,1,0,0,1,0
Ford Edge SE,42,1,1,1,0,1,1,1
Dodge Challenger R/T Scat Pack,23,0,0,1,0,1,1,1
BMW X7 xDrive40i,53,1,1,1,1,1,1,0
Dodge Challenger GT,45,1,1,1,1,1,0,0
Lexus RX 350L L,33,1,1,0,0,0,0,1
Mercedes-Benz AMG GT 63 4-Door,28,0,0,0,0,0,1,0
BMW M6 Base,37,0,0,0,1,0,0,1
Dodge Charger SE,43,0,1,0,1,1,0,1
Acura MDX Sport Hybrid 3.0L w/Technology Package,55,1,0,1,1,0,1,1
BMW 328 i xDrive,43,0,0,0,0,0,1,1
Mercedes-Benz GLS 450 GLS 450,29,1,0,0,1,0,1,1
Toyota Sienna LE,29,1,1,0,0,1,0,1
BMW X5 PHEV xDrive45e,42,1,1,1,1,1,1,0
Mercedes-Benz CLS-Class CLS 63 AMG S-Model 4MATIC,33,1,1,1,0,1,0,1
Jeep Grand Cherokee L Summit,46,1,0,0,0,0,0,1
Mercedes-Benz AMG GLE 43 Coupe 4MATIC,27,1,1,0,0,0,0,1
Tesla Model Y Long Range,53,1,0,0,1,0,1,1
BMW 750 Li,58,0,1,0,1,0,1,0
Buick Encore Sport Touring,18,1,0,1,1,1,0,0
INFINITI QX60 Luxe,59,0,1,1,1,1,0,0
Audi S5 3.0T Premium Plus,49,0,0,0,1,1,1,1
Volvo V90 Cross Country T5,51,0,0,1,0,0,1,1
Maserati Levante S,27,0,0,0,1,1,1,0
Land Rover Range Rover P525 HSE LWB,45,0,1,1,0,0,0,0
Subaru Forester 2.5i Touring,30,0,1,1,0,0,1,1
Cadillac CTS 3.6L Luxury,48,1,0,1,0,1,0,1
Mazda Mazda3 FWD w/Preferred Package,48,0,0,0,0,0,0,1
Lincoln Corsair Reserve,54,1,1,1,1,0,0,0
Mercedes-Benz AMG C 43 Base 4MATIC,48,0,0,1,0,0,1,0
Toyota 4Runner Limited,41,1,1,1,1,1,0,1
Toyota Highlander Platinum,50,1,1,1,1,0,0,0
Volkswagen Atlas 3.6 V6 SEL,18,1,1,1,1,1,1,1
Chevrolet Cruze LTZ,43,1,0,0,0,1,1,1
BMW M3 Base,37,1,0,0,0,0,1,1
Ford Edge Titanium,25,0,0,1,0,0,1,0
Lexus IS 300 IS 300 F SPORT,46,0,0,0,1,1,0,0
Jeep Compass Trailhawk,30,0,1,0,0,0,1,1
Scion tC Base,36,1,0,0,1,1,1,1
Hyundai Kona Limited,25,1,1,0,0,0,1,1
Lexus LS 460,26,0,1,1,1,0,1,1
Chevrolet Suburban Z71,20,0,0,0,0,1,1,0
Lexus NX 200t F Sport,56,1,0,0,0,1,0,0
Chevrolet Traverse RS,19,1,0,1,0,0,1,1
Mazda Mazda3 s,39,1,0,0,0,1,1,0
BMW 528 i xDrive,58,0,0,0,1,1,0,0
Mercedes-Benz C-Class C 300 4MATIC,60,0,0,0,0,0,1,1
Maserati GranTurismo Sport,43,1,0,0,1,1,1,0
Hyundai Genesis 3.8,58,1,1,0,1,0,1,0
Cadillac CTS Performance,39,0,1,1,1,1,1,0
Lexus RX 350L Premium,26,0,1,1,0,0,0,0
BMW X3 M Base (A8),42,1,0,1,1,1,0,1
Ford Fusion SEL,26,0,0,1,1,1,1,0
Nissan Rogue Sport SV,47,0,1,1,0,1,1,0
Lamborghini Urus Base,25,1,1,0,0,0,1,0
Honda Pilot EX-L w/ Navigation,57,0,0,0,0,0,1,0
Lincoln Nautilus Reserve,35,1,1,1,0,1,1,1
Mercedes-Benz CLA-Class CLA 250,41,1,0,1,0,0,1,1
Lincoln Corsair Standard,33,1,0,0,1,0,0,1
Honda HR-V EX,18,0,1,0,0,0,0,1
Porsche Panamera 4,21,0,0,1,0,1,1,0
Audi A4 2.0T Premium Plus quattro,53,1,1,0,1,0,1,0
Subaru Outback Limited,30,1,0,0,0,1,0,0
Mercedes-Benz GLS 580 Base 4MATIC,45,1,0,1,0,1,0,0
Toyota Mirai Base,37,0,0,0,0,1,0,1
Toyota Camry Hybrid SE,47,1,1,1,1,1,1,1
Toyota Sienna Limited,45,1,1,1,0,1,1,1
Jeep Grand Cherokee L Limited,47,0,0,1,0,1,1,0
Audi A4 40 Premium,33,1,0,0,0,1,1,0
Toyota Corolla Hatchback SE,21,1,1,1,0,0,0,0
BMW 430 i xDrive,19,1,1,0,0,0,0,1
Jeep Wrangler Unlimited Sahara Altitude,41,0,1,1,1,1,1,1
Hyundai Santa Fe Ultimate 2.0T,54,1,0,0,1,1,0,1
Ford Taurus SES,59,1,1,0,1,1,0,0
Land Rover Range Rover Velar P250 S,50,1,1,0,0,0,0,0
Volkswagen Tiguan 2.0T Sport,19,1,1,1,1,1,1,0
Ford Expedition EL Limited,49,1,0,0,1,0,1,1
Dodge Charger SXT Plus,35,1,0,0,0,0,0,0
Honda Ridgeline Black Edition,56,1,1,1,1,1,0,0
Land Rover Range Rover 3.0L Supercharged HSE,34,1,0,1,0,0,1,0
Land Rover Defender 110 X-Dynamic HSE,49,1,0,1,0,0,1,1
Nissan Pathfinder S,45,1,0,1,0,1,0,1
Ford Mustang EcoBoost,26,0,1,0,0,0,1,1
Dodge Durango SRT Hellcat,23,0,0,0,1,1,1,0
Mercedes-Benz GLC 300 Base 4MATIC,37,1,1,1,1,0,0,0
BMW X4 xDrive30i,31,1,0,1,1,0,1,1
Honda Civic EX-L,18,1,0,0,1,1,1,0
Ford Mustang Mach-E Premium,59,1,0,1,1,0,1,0
Ford Flex Limited,42,0,0,1,1,0,0,0
Toyota Sienna XSE 7 Passenger,58,1,0,1,0,1,1,1
BMW X5 xDrive40i,47,0,1,1,0,0,1,0
GMC Terrain Denali,26,1,0,1,1,0,0,0
Buick Encore Preferred,33,0,0,1,1,1,1,0
Mercedes-Benz CLA 250 Base 4MATIC,34,1,1,1,1,0,0,1
Jeep Grand Cherokee Trailhawk,45,0,0,1,0,1,0,0
Chrysler Aspen Limited,41,0,1,1,1,0,0,1
Audi Q5 Premium Plus,21,0,0,0,1,1,0,0
BMW M5 Competition,33,0,0,1,0,1,0,0
Acura TLX A-Spec,25,0,0,1,1,1,1,0
Toyota Highlander SE,43,1,0,1,0,1,0,1
Kia Optima LX,51,0,1,0,0,0,1,0
Volkswagen Atlas 2.0T S,46,0,1,1,1,0,0,1
Mitsubishi Outlander Sport SE,20,1,0,1,0,1,1,0
Alfa Romeo Stelvio Ti,44,0,0,0,1,1,1,0
Volvo S90 T6 Inscription,47,0,0,1,0,0,1,0
Chevrolet Silverado 1500 RST,37,1,1,0,1,1,1,1
Ford Transit Connect XL,38,0,1,0,0,0,1,0
Mazda Mazda3 AWD w/Preferred Package,60,0,0,0,0,1,1,1
Chevrolet Corvette Grand Sport,19,1,1,1,0,0,0,1
Nissan Murano SV,35,0,1,0,1,0,0,1
Ford F-150 XLT,40,0,0,0,1,1,0,0
Toyota 4Runner TRD Pro,43,0,0,0,0,0,0,1
BMW 440 Gran Coupe i xDrive,60,1,0,0,0,0,0,0
Honda Pilot EX-L w/Navigation/RES,48,1,1,0,1,0,1,0
Subaru Outback 2.5i Limited,43,0,1,0,1,1,0,1
Volvo XC90 T6 Inscription,47,0,0,0,0,0,0,1
Mercedes-Benz E-Class E 63 AMG S-Model 4MATIC,52,1,0,1,0,1,0,1
Genesis G70 2.0T,34,1,1,1,0,0,1,0
Chevrolet Spark 1LT,31,1,1,0,1,0,0,1
Lincoln MKZ Hybrid Reserve I,40,1,1,0,1,1,1,0
INFINITI Q50 3.0T Red Sport 400,20,1,1,1,0,1,0,0
Hyundai Santa Fe SEL 2.4,58,0,0,0,0,1,1,1
Acura RDX Base (A10),40,0,1,0,1,0,1,0
BMW X6 sDrive35i,58,1,1,1,1,0,0,1
Honda Civic Sport,33,0,1,0,0,1,0,1
Subaru Impreza 2.0i Sport,36,0,0,0,1,1,1,1
Cadillac CT4 Premium Luxury,23,0,1,0,1,1,1,0
Land Rover Range Rover Sport 3.0L Supercharged HSE Dynamic,53,0,1,0,0,1,0,1
Chevrolet Traverse High Country,43,1,1,0,1,1,0,1
Subaru Outback Onyx Edition XT,54,1,1,0,0,0,1,1
Kia Forte S,33,1,0,1,0,1,1,0
BMW X5 4.8i,46,0,1,0,0,0,0,0
Chevrolet Traverse LTZ,57,1,0,1,0,1,0,0
Jeep Grand Cherokee Laredo,46,1,0,1,0,1,0,0
Nissan Altima 2.5 SL,34,0,0,0,1,1,0,1
Honda Pilot Special Edition,57,0,1,1,0,1,0,1
Audi A4 Premium Plus,26,0,0,0,1,1,0,1
Lexus NX 300 F-SPORT,45,0,1,1,0,1,1,0
Ford Expedition Platinum,43,1,0,0,0,0,1,1
Chevrolet Impala LS,46,0,0,0,0,0,1,0
Subaru Forester 2.5i Premium,33,0,1,1,0,0,1,0
Mercedes-Benz A-Class A 220 4MATIC,60,1,0,0,1,1,1,1
Honda HR-V Sport,56,1,1,0,1,0,0,0
Land Rover Range Rover P525 HSE,42,1,0,0,1,0,1,1
Nissan Murano Platinum,19,0,0,0,1,1,1,0
Lincoln Navigator L Reserve,25,0,1,1,0,1,0,0
Volvo S60 T5 Premier Plus,25,1,0,0,0,0,1,0
Honda Fit Sport,41,1,0,0,1,0,1,0
Mercedes-Benz G-Class G 550,59,0,0,1,1,1,1,0
Jeep Wrangler X,37,1,1,1,1,0,0,0
BMW 535 i xDrive,60,0,0,0,0,0,0,1
Lexus RX 350 F Sport Performance,55,0,0,1,0,0,0,1
Nissan Murano S,18,0,1,1,0,1,0,1
BMW 540 i xDrive,33,1,0,1,1,1,0,1
Jeep Gladiator Sport,42,1,0,1,1,1,1,0
Jeep Cherokee Latitude Plus,19,1,1,1,0,1,0,1
Volkswagen Atlas 3.6 V6 SE w/ Technology R-Line,35,1,1,1,1,0,1,1
Cadillac CTS Premium,31,1,1,0,1,0,0,0
BMW 328 Gran Turismo i xDrive,28,1,1,0,0,0,0,0
Audi Q5 45 Titanium Premium,28,1,0,0,0,1,1,0
Subaru Legacy Touring XT,42,0,0,1,1,0,0,0
Buick Enclave Essence,60,1,0,0,0,0,0,1
Audi A4 45 S line quattro Premium,33,0,0,1,0,0,0,1
Nissan Rogue Platinum,34,0,0,1,1,1,0,0
Toyota Corolla SE,48,0,0,1,0,1,1,0
Lincoln MKZ Select,42,1,1,1,0,0,1,0
BMW 335 335i,22,0,1,1,1,1,0,0
Audi Q7 55 quattro Premium Plus,51,1,0,1,0,0,1,0
Dodge Durango GT,23,0,0,1,0,0,0,1
Land Rover Range Rover Sport 5.0L Supercharged Dynamic,36,1,1,1,1,0,1,0
Mercedes-Benz G-Class G 63 AMG,27,0,0,1,1,0,1,1
Bentley Bentayga Design Edition,36,1,1,1,0,0,0,0
Acura MDX Touring,30,1,0,1,1,0,1,0
Tesla Model S 75D,18,0,0,0,0,1,1,1
Acura TLX w/Technology Package,55,0,0,0,1,0,0,1
Toyota C-HR LE,35,0,0,0,0,1,0,1
Maserati Levante Base,51,0,1,1,1,1,0,1
Land Rover Range Rover Sport HSE Silver Edition,20,0,1,0,1,0,1,0
Mazda CX-9 Signature,25,1,0,0,0,0,1,0
Land Rover Range Rover Westminster,49,0,1,1,0,1,1,0
Ford Flex SEL,32,0,0,0,0,0,1,1
Lexus IS 250 Base,32,1,0,1,0,1,0,0
Volvo XC40 T5 Momentum,48,0,0,0,0,1,1,1
BMW Z4 sDrive35is,35,1,0,0,0,0,1,1
Volvo S90 T6 Momentum,48,1,1,0,0,0,1,0
Ford F-150 Raptor,59,1,0,0,1,0,0,1
Mitsubishi Eclipse GS Sport,47,1,0,1,0,1,1,1
Porsche Panamera Sport Turismo Turbo,58,0,0,0,1,1,0,0
Volvo S60 Momentum,21,1,1,0,0,1,0,1
BMW X5 xDrive35i Premium,50,0,0,1,0,1,0,0
Nissan Pathfinder SL,34,0,0,1,1,1,0,0
Genesis G90 3.3T Premium,33,1,0,0,0,1,0,1
Volkswagen Tiguan 2.0T SE,34,1,1,0,0,1,0,0
Saturn Outlook XR,47,0,0,0,1,1,0,1
Mazda CX-30 Select,27,0,1,1,1,0,0,0
Chevrolet Corvette Stingray,24,0,1,1,1,1,0,0
Audi A3 1.8T Premium Plus,31,0,1,1,0,1,0,1
INFINITI QX80 Limited,32,1,0,0,0,0,1,1
Ford Expedition XLT,23,1,1,1,0,1,0,1
Volvo XC60 3.2 Premier Plus,41,1,0,0,0,1,1,1
Toyota Sequoia SR5,19,0,0,0,0,0,1,1
Porsche 911 Turbo,45,0,0,0,1,1,1,0
Acura TLX Technology Package,48,0,0,1,0,0,1,1
Mercedes-Benz AMG G 63 Base,46,0,0,0,1,1,1,0
BMW 440 i xDrive,30,1,1,1,0,0,0,1
Lexus IS 350 Base,26,1,0,0,0,1,0,1
Land Rover Range Rover Evoque Pure Plus,36,0,1,1,1,0,1,1
Lexus ES 350,24,0,0,0,1,1,1,0
Ford Fiesta SE,24,0,1,0,1,0,0,1
Cadillac Escalade Base,34,0,1,0,0,1,1,0
BMW X5 sDrive35i,39,0,1,1,0,0,1,0
Porsche Cayenne Turbo Coupe AWD,31,1,0,1,1,0,1,0
BMW X5 xDrive50i,57,1,1,1,1,0,0,0
Lexus LS 460 Base,22,0,1,1,1,0,0,1
BMW 430 Gran Coupe i xDrive,52,0,1,0,0,0,0,0
Honda CR-V EX-L,23,1,0,1,1,0,0,0
Alfa Romeo Stelvio Ti Sport,49,1,0,0,1,1,0,0
Volvo XC60 T6,36,0,0,0,0,1,0,1
Cadillac SRX Performance Collection,56,0,1,1,1,0,0,1
Chevrolet Equinox Premier,47,0,0,0,1,0,0,1
Ford Edge Limited,35,1,1,0,1,1,1,1
Subaru Legacy 2.5i Premium,56,1,1,0,1,1,1,0
Mercedes-Benz C-Class C 300,35,0,0,0,0,1,1,0
Volvo XC90 T5 Momentum 7 Passenger,27,0,1,1,1,1,0,0
BMW X3 M40i,39,0,0,1,0,1,0,1
Honda CR-V Hybrid Touring,38,0,1,1,1,1,1,1
Audi Q7 55 Premium,27,0,1,1,0,1,1,0
Lexus NX 300 F Sport,60,1,0,0,1,0,0,0
BMW 330 i xDrive,27,1,0,1,0,0,1,1
Porsche Cayman GT4,29,0,0,0,0,1,0,0
Volvo XC90 T6 R-Design,31,0,1,1,0,1,1,0
Porsche 911 GT3,32,1,0,1,0,1,0,1
Cadillac XT6 Premium Luxury AWD,36,0,0,0,0,0,1,0
Hyundai Tucson Value,48,1,0,1,1,0,0,0
BMW 435 Gran Coupe i xDrive,52,1,0,0,1,0,1,0
Lincoln Navigator Black Label,22,1,1,1,1,1,1,1
Toyota Tundra,55,0,0,1,0,1,0,1
Porsche Cayenne Base,25,0,1,0,0,1,0,0
Volvo XC60 T6 Dynamic,59,0,0,0,0,0,0,1
Mazda CX-5 Sport,48,1,1,0,0,1,0,0
Lincoln Continental Black Label,30,1,0,0,1,1,0,1
Nissan Maxima 3.5 SV,42,1,1,1,1,1,1,1
Volvo V60 Cross Country T5,40,0,0,0,0,0,0,1
Lincoln Navigator Base,59,1,0,0,1,1,0,0
Lexus GX 460 GX 460 Premium,20,0,1,0,1,0,1,0
Subaru Ascent Premium 8-Passenger,39,1,1,0,0,1,0,0
Volkswagen Atlas 3.6L SE w/Technology,36,1,0,1,1,0,1,1
Subaru Forester 2.5i,41,0,0,0,1,1,0,0
Mercedes-Benz GLE 350 Base,30,0,1,1,1,1,1,0
Lincoln Navigator L Select,25,1,0,1,1,0,1,0
BMW 740 i,45,0,0,0,1,0,0,0
Hyundai Palisade SE,58,1,0,0,0,1,0,0
Porsche Boxster S,37,1,1,0,1,1,1,1
Dodge Durango Citadel,18,1,1,0,1,0,1,0
Lexus RX 350 Base,47,1,0,0,0,0,0,1
Buick Encore Essence,36,1,1,0,1,0,0,0
Chevrolet Impala Premier 2LZ,47,0,1,0,1,1,1,0
Jaguar F-PACE 25t Prestige,29,0,1,1,1,1,1,1
Hyundai IONIQ 5 SE,46,0,0,1,1,1,1,1
Lexus RC 350 Base,59,0,1,0,0,0,1,1
Toyota RAV4 Limited,28,1,1,1,1,1,0,0
Dodge Charger SRT8,50,1,1,1,0,1,1,1
Volkswagen Atlas Cross Sport 2.0T SE w/Technology,42,1,1,1,1,0,0,1
Chevrolet Trailblazer LS,22,0,1,0,1,1,1,1
Chevrolet Silverado 1500 WT,29,0,1,1,1,0,1,1
Acura RDX Technology,58,1,0,1,1,0,0,1
Volkswagen Tiguan Sport,46,0,1,0,0,1,1,1
Mercedes-Benz GLE 350,25,0,1,0,1,0,1,1
Toyota Camry,27,0,0,0,1,0,0,1
Kia Soul GT-Line 2.0L,24,0,0,0,1,0,0,0
