Model,Age,Art,Sport,Book/Films,Science,Travel,Cooking,Politics
Hyundai Tucson Limited,33,0,0,1,1,0,0,0
BMW 750 Li,36,0,0,1,0,1,1,0
Lincoln MKZ Premiere,45,1,0,1,0,0,1,1
Volkswagen Atlas 2.0T SE,35,1,0,1,0,0,1,1
Maserati Ghibli S,34,1,1,1,0,1,1,0
Chevrolet Traverse LT Leather,41,0,1,1,0,0,1,1
Mazda Mazda6 i Touring,46,0,0,1,0,1,0,1
Chevrolet Equinox 2LT,34,0,0,0,1,0,1,1
Acura MDX A-Spec,38,1,0,1,0,1,0,1
Nissan Murano SV,32,1,0,0,1,0,1,1
Honda Civic EX-L,37,0,1,1,0,1,0,0
Volkswagen Tiguan 2.0T SE,25,1,1,0,0,0,1,0
Ford Focus RS Base,37,0,1,1,0,1,0,0
Land Rover Range Rover 5.0L Supercharged,34,0,1,0,0,1,1,1
Chevrolet Captiva Sport 2LS,37,0,0,0,1,0,0,1
Toyota 4Runner Trail Premium,28,0,0,1,1,1,1,0
Chrysler Aspen Limited,32,0,0,1,1,0,1,0
Jeep Grand Cherokee Summit,50,1,0,1,1,0,1,1
Land Rover Range Rover Sport 3.0L Supercharged HSE Dynamic,38,0,0,0,0,0,0,1
Scion tC,27,0,0,0,1,1,0,0
Ford Bronco Sport Big Bend,36,0,1,1,0,0,0,0
Land Rover Range Rover Velar P250 HSE R-Dynamic,33,1,1,0,0,1,0,0
Audi Q7 45 Premium Plus,29,0,1,0,0,0,1,0
Mercedes-Benz M-Class ML 350 4MATIC,48,0,0,0,0,0,1,0
Lexus GS 350 Base,48,1,0,1,0,1,1,1
BMW 335 i,39,1,1,0,0,1,0,1
Tesla Model X 75D,32,1,1,1,1,1,0,1
RAM 1500 TRX,36,0,0,0,1,1,1,0
Lincoln MKC Select,47,0,0,0,0,1,0,1
Chrysler Town & Country Touring Plus,26,1,0,1,0,1,1,1
Dodge Charger SXT Plus,30,1,0,0,1,0,1,1
Lexus RX 450h 450H,37,1,0,0,1,0,1,1
Dodge Charger GT,48,1,0,1,1,1,0,0
Honda Accord Sport 2.0T,34,1,0,0,1,1,1,0
Chevrolet Cruze LT w/1LT,33,1,0,1,0,0,0,1
Cadillac CT6 3.6L Luxury,48,0,1,1,0,0,1,0
Toyota Tundra W/ NAVIGATION&PLATINUM,25,1,1,0,0,0,0,0
Ford F-150,48,1,1,1,0,0,1,0
Jaguar F-PACE 25t R-Sport,44,0,0,0,1,1,1,0
Toyota Tacoma SR5,25,0,0,0,1,1,0,1
Mercedes-Benz SL-Class SL 550,42,0,1,0,0,0,1,0
Hyundai Veloster Turbo,43,0,0,1,1,0,1,0
Hyundai Tucson Sport,50,1,1,1,0,0,1,1
Toyota C-HR XLE,46,1,0,1,0,0,1,1
Jeep Wrangler JK Unlimited Sahara,25,1,0,0,1,1,0,1
Volkswagen Taos 1.5T SE,41,1,0,0,1,0,1,1
Subaru Ascent Premium 8-Passenger,29,0,1,0,1,0,0,0
Jeep Commander Limited,43,1,0,1,0,0,1,0
Porsche 911 Carrera GTS,45,0,1,0,1,0,1,0
Volvo V60 T5 Premier,38,1,1,0,1,0,1,0
Audi Q7 55 Premium,36,1,1,0,1,0,0,1
Chevrolet Traverse Premier,28,1,0,0,1,0,1,0
Chrysler 200 S,27,0,1,1,0,0,0,1
Land Rover Range Rover Velar P380 HSE R-Dynamic,43,0,1,0,1,1,1,1
Lexus GX 460 Luxury,29,0,0,0,0,0,1,1
Chevrolet Suburban LT,41,1,0,0,1,0,0,0
Acura ILX Premium & A-SPEC Packages,39,1,1,0,1,0,1,1
Lexus RX 350 350,46,0,0,1,1,1,0,1
Chevrolet Tahoe Z71,29,1,1,1,1,0,1,1
Audi Q5 45 Premium Plus,30,0,1,0,0,0,0,1
GMC Yukon XL 1500 SLE,27,0,1,0,1,1,1,0
Toyota 4Runner SR5 Premium,34,0,1,0,0,1,0,1
Dodge Charger SRT 392,44,1,1,1,0,0,1,1
GMC Yukon SLT,45,0,1,0,1,0,0,0
Lexus NX 200t Base,28,1,0,0,0,0,1,0
Volkswagen Golf R 2.0T w/DCC & Navigation,44,1,0,0,0,0,0,1
Chevrolet Blazer 2LT,40,1,0,0,1,1,1,0
Mazda Mazda3 i Touring,41,0,0,0,1,0,0,1
Volkswagen Atlas Cross Sport 3.6L V6 SE w/Technology,37,1,0,0,1,0,1,1
Nissan Versa 1.6 S+,28,0,1,0,1,0,1,0
INFINITI Q50 3.0t SENSORY,31,1,1,1,0,1,1,1
Hyundai Kona Limited,26,0,1,0,1,0,1,0
Subaru Legacy Touring XT,30,0,1,0,0,0,1,1
Cadillac ATS 2.0L Turbo Luxury,42,0,1,0,0,0,1,1
Cadillac Escalade Luxury,48,0,0,0,0,1,1,1
GMC Yukon XL Denali,50,1,1,0,0,1,1,0
GMC Yukon SLE,25,0,1,1,0,1,1,0
Buick Envision Essence,45,1,1,0,0,0,1,1
Toyota Highlander Base Plus,37,1,1,0,1,1,0,1
Kia Optima S,25,0,1,0,0,0,0,1
Subaru Forester Base (CVT),27,0,1,0,1,0,0,1
Lexus RX 350 F Sport,38,1,1,1,1,1,0,1
Mercedes-Benz G-Class G 550,48,1,1,0,0,0,1,1
Volvo S90 T6 Inscription,45,0,0,1,1,1,0,1
Volkswagen Beetle Auto 1.8T,48,0,0,1,0,0,1,1
Ford Flex SEL,42,0,0,0,0,1,1,0
Audi A4 2.0T Premium Plus quattro,38,1,1,1,1,1,0,1
Porsche Macan 4DR SUV AWD,31,1,0,1,0,0,1,0
Kia Seltos LX,35,1,0,0,0,1,0,0
Acura MDX Base,46,1,0,0,1,1,1,1
Ford EcoSport SE,29,0,0,0,0,0,1,0
Honda Fit Sport,25,0,0,0,0,1,1,0
Hyundai Palisade SEL,41,1,0,0,1,1,1,0
Mercedes-Benz GLC 300 Base 4MATIC,41,1,1,0,0,1,1,0
Jeep Renegade Latitude,28,0,0,1,1,1,0,0
BMW X5 xDrive35i,45,0,0,0,0,1,0,0
Volvo XC90 T6 R-Design,44,0,0,1,1,0,0,1
Chevrolet Suburban High Country,35,0,1,0,0,0,1,1
Jaguar XK,36,0,1,0,0,1,1,1
Mercedes-Benz E-Class E 300 4MATIC,31,0,0,1,0,0,0,0
GMC Acadia Limited Limited,42,0,0,1,0,1,0,0
Lincoln Corsair Standard,43,1,1,0,0,0,0,1
Toyota Avalon Limited,44,1,0,1,0,0,1,0
Volvo XC90 T6 Inscription 7 Passenger,38,0,1,0,1,0,0,1
Dodge Challenger SRT Hellcat,38,1,1,0,1,1,1,0
Subaru XV Crosstrek 2.0i Premium,34,1,1,0,1,0,0,1
Toyota 4Runner SR5 4WD,40,1,1,1,0,0,0,1
Lexus LX 570 Three-Row,38,0,1,1,1,1,0,0
Jaguar F-PACE 35t R-Sport,32,1,0,0,0,1,1,1
INFINITI QX60 Pure,35,1,1,0,0,0,1,1
Subaru Ascent Touring 7-Passenger,37,1,1,0,0,0,0,1
Cadillac CTS 2.0L Turbo Luxury,32,1,0,0,0,1,1,1
Mercedes-Benz GLK-Class GLK 350 4MATIC,46,1,0,0,1,0,0,0
Mitsubishi Outlander Sport,49,1,1,0,0,0,0,0
Volkswagen Atlas 3.6L S,29,1,0,0,0,1,0,0
Audi A7 3.0T Premium Plus,46,1,0,1,0,1,0,1
Audi Q5 45 Prestige,43,1,1,1,1,1,0,1
Jeep Grand Cherokee Laredo,49,1,1,0,0,0,0,1
Mercedes-Benz S-Class S 550 4MATIC,39,1,1,1,1,1,0,0
Mercedes-Benz SL-Class SL500 Roadster,30,1,1,0,0,1,1,0
Land Rover Range Rover SWB,45,1,0,1,0,1,1,1
Volvo XC40 T5 Momentum,36,0,0,1,1,1,0,1
Alfa Romeo Giulia Base,37,0,0,1,0,1,0,0
BMW 430 Gran Coupe i,43,1,0,0,0,0,1,0
Lexus RX 350 Base (A5),32,1,1,1,1,0,0,1
Tesla Model Y Performance,26,0,0,1,1,1,1,1
Subaru Outback Limited,38,0,0,0,0,1,1,1
Mercedes-Benz E-Class E 300 Sport,32,0,0,1,0,1,0,1
Hyundai Sonata SE,45,0,0,0,1,1,1,0
BMW 440 Gran Coupe i xDrive,38,0,1,1,0,1,0,1
Mercedes-Benz GLE 450 AWD 4MATIC,37,0,0,0,0,1,0,1
Subaru Forester,28,0,1,0,0,1,1,0
Kia Telluride SX,41,1,0,1,0,0,0,1
Mazda CX-5 Touring,26,1,1,0,0,0,1,0
Hyundai Veloster Base,38,0,0,0,1,0,0,1
Volkswagen Passat 2.0T SEL,47,1,0,1,0,1,0,0
Land Rover Discovery HSE LUXURY,44,1,1,0,1,1,1,0
Dodge Journey SE/AVP,43,0,0,0,1,0,0,0
Mercedes-Benz E-Class E 63 AMG S-Model 4MATIC,25,0,1,1,0,0,0,1
Mercedes-Benz C-Class C 300 4MATIC,36,1,0,1,1,1,1,0
Ford Explorer Base,44,1,1,0,1,1,0,0
Volkswagen Passat 2.0T S,49,1,0,1,1,1,1,0
GMC Yukon AT4,36,1,1,1,0,0,0,1
Mercedes-Benz GLA 250 Base 4MATIC,43,0,0,0,1,1,1,0
Subaru Crosstrek Premium,29,0,0,0,1,0,0,1
Hyundai Elantra SE,31,1,1,1,1,0,0,1
Honda HR-V EX,27,1,0,0,0,1,0,1
Tesla Model X 70D,32,0,0,0,1,1,1,1
Volkswagen Jetta 1.8T SE,39,1,0,0,1,0,1,1
Land Rover Range Rover Supercharged,43,0,0,1,0,1,0,1
Mercury Mariner Premier I4 AWD 4dr SUV,44,0,1,0,1,1,1,0
Lexus RX 350,27,0,1,1,1,1,0,0
Maserati Ghibli S Q4,46,0,1,0,1,1,1,0
Lexus LS 460,36,0,0,0,1,1,1,1
Audi Q8 55 Premium,37,1,1,0,1,0,0,1
Lincoln Navigator L Select,37,1,0,1,0,1,0,1
Jeep Wrangler JK Sport,50,0,0,0,1,0,1,0
Porsche Cayenne Turbo Coupe AWD,49,0,1,0,1,0,1,0
Kia Sorento EX V6,31,1,0,0,1,0,1,1
BMW X4 M40i,39,0,0,0,1,1,1,0
Land Rover Defender 110 SE,27,1,0,1,0,1,1,1
Audi Q7 55 Premium Plus,44,1,1,1,1,1,1,0
Volkswagen Tiguan Sport,29,0,0,0,1,1,1,1
Acura TL Technology,38,0,0,0,0,0,1,1
Lexus LX 570 Base,48,1,1,1,1,0,0,0
Cadillac Escalade ESV Base,48,1,1,1,1,1,1,1
Lexus UX 250h Base,47,0,0,1,0,1,0,1
Lexus IS 300 IS 300 F SPORT,49,0,1,0,1,0,1,1
Toyota Tundra 1794,34,1,0,0,0,1,0,0
Chevrolet Malibu 1LT,31,0,1,0,1,0,0,1
Audi A6 2.0T Premium Plus quattro,34,1,0,1,0,1,1,0
Land Rover Defender 110 X-Dynamic HSE,38,1,1,0,1,1,0,1
Lincoln MKX Base,47,0,0,1,1,1,1,1
Toyota Highlander Platinum,35,0,0,1,1,1,1,1
Lexus IS-F Base,44,0,1,1,0,0,1,0
Lexus RX 450hL Base,40,1,0,0,1,0,0,0
Mazda Mazda3 FWD w/Preferred Package,28,0,0,1,1,1,0,0
Lexus RX 350L Premium,34,0,0,1,0,0,0,1
BMW Z4 2.5i Roadster,43,1,0,0,0,1,0,1
Dodge Durango GT,47,0,0,0,1,1,0,1
Porsche Cayenne S,40,1,1,0,0,0,1,0
Volvo S60 T6 R-Design,34,1,0,1,0,1,0,0
Chevrolet Blazer 1LT,46,1,1,1,0,1,0,1
Mercedes-Benz GLS 580 Base 4MATIC,25,1,1,0,1,0,1,1
Volvo S90 T5 Momentum,44,0,1,1,0,0,1,0
Mercedes-Benz E-Class E 300 Luxury,50,1,1,1,0,0,1,1
Chevrolet Tahoe LS,27,1,0,1,1,1,0,1
Toyota Tacoma Base,39,0,0,1,1,1,1,0
BMW 528 i,31,0,0,1,1,0,1,0
Honda Civic SE,28,1,0,1,1,1,1,0
Lexus GX 460 GX 460 Premium,41,0,1,1,1,0,1,0
Nissan Pathfinder Platinum,25,0,1,0,1,1,0,1
Audi Q7 3.0T Premium,30,1,0,1,0,1,0,0
BMW 330 i xDrive,35,1,1,0,0,1,1,0
Mercedes-Benz GLC 300 Base,25,0,1,1,1,1,1,0
Jeep Cherokee Latitude Plus,34,1,1,1,1,0,1,1
Subaru Impreza 2.0i Premium,32,1,0,1,1,1,1,0
Porsche 911 Carrera 4S,47,0,1,0,0,0,1,0
BMW X7 xDrive40i,33,1,1,0,0,0,0,1
Chevrolet Equinox Premier w/1LZ,33,1,1,0,0,0,0,0
Volvo XC40 T5 R-Design,28,1,0,0,0,0,1,0
GMC Acadia SLT,38,0,1,0,0,1,1,1
Buick Enclave Leather,41,0,0,1,1,1,1,0
Audi Q8 3.0T Premium Plus,34,1,0,0,1,1,1,0
Chevrolet Impala Premier 2LZ,36,0,1,0,0,0,1,1
Nissan Maxima 3.5 Platinum,32,0,1,0,0,1,0,0
Subaru Crosstrek 2.0i,36,0,0,1,1,1,1,0
Cadillac ATS 2.0L Turbo,41,1,0,1,1,1,0,0
Volkswagen Arteon 2.0T SEL Premium R-Line,49,0,1,1,1,0,1,1
Porsche Cayenne Base,47,0,1,0,1,1,1,0
Honda Pilot Elite,36,1,1,1,0,1,1,1
Toyota Sienna Limited,47,1,1,0,1,1,0,1
Jaguar F-PACE 25t Premium,43,0,0,1,0,1,1,0
Dodge Charger SXT,27,1,1,0,0,0,0,0
Honda Civic Sport,39,1,0,1,1,0,1,0
BMW Z4 sDrive35i,34,1,0,0,1,0,0,1
Volkswagen Atlas Cross Sport 2.0T SE,39,0,1,0,0,1,1,1
Land Rover Range Rover 3.0L Supercharged HSE,42,1,1,1,0,1,0,1
Jaguar XE 35t First Edition,37,0,0,0,1,1,1,1
Audi Q5 2.0T Tech Premium,32,1,0,0,0,0,1,1
Chevrolet Silverado 1500 WT,31,0,1,1,0,1,0,1
Lexus IS 250 Base,33,0,1,0,0,0,1,1
Toyota 4Runner Nightshade,26,1,0,1,1,0,1,1
Honda HR-V EX-L w/Navigation,38,0,0,0,1,1,0,1
Subaru Outback 2.5i Premium,49,1,1,1,0,1,1,0
Kia Sportage S,30,0,1,1,1,0,0,0
BMW 430 i xDrive,45,0,1,0,1,0,1,0
Jeep Grand Cherokee L Summit,39,0,1,0,0,1,1,1
Honda CR-V Touring,40,1,1,1,1,0,0,1
Tesla Model 3 Mid Range,40,1,0,1,0,1,0,1
Jaguar F-PACE 30t Prestige,32,0,0,1,0,0,1,0
Subaru Legacy 2.5i Premium,28,1,1,0,0,0,1,0
Porsche 911 Targa 4S,40,0,1,0,0,0,0,0
Tesla Model X 100D,44,0,0,1,1,0,0,1
Mazda CX-5 Grand Touring Reserve,45,0,1,0,1,0,0,0
Hyundai Sonata N Line Night Edition,49,0,1,1,0,0,1,0
Hyundai Elantra Value Edition,26,1,1,0,1,0,0,0
Kia Forte LXS,44,0,0,0,1,1,1,0
GMC Terrain SLE,28,1,0,1,1,1,0,0
Volvo XC60 B5 Inscription,39,1,1,1,1,0,0,1
Chevrolet Colorado Z71,34,0,0,1,0,0,0,0
Ford ZX2,40,1,1,1,0,0,0,1
Lincoln Aviator Reserve RWD,50,0,0,1,0,0,0,0
Volvo S60 T5 Premier,30,1,0,0,1,0,1,1
Audi A8 L 55,41,1,1,1,1,1,0,1
Jaguar F-PACE S,43,0,0,1,1,1,1,0
Jeep Grand Cherokee Trailhawk,36,0,0,1,1,0,1,1
Volvo XC90 T5 Momentum,41,1,0,1,1,1,1,1
Cadillac CT6 3.6L Premium Luxury,30,0,0,0,1,0,0,1
Tesla Model X Performance,29,1,0,0,1,1,1,1
Audi A6 55 Premium,25,0,1,0,1,0,0,1
Chrysler Crossfire SRT-6,41,0,1,0,0,1,0,1
Lexus LC 500 Base,26,0,0,0,1,1,0,0
Ford Ranger XLT,48,1,1,0,0,1,1,1
Toyota Highlander SE,33,1,1,0,0,1,1,0
Ford Expedition XLT,25,1,1,1,1,0,0,1
Honda Accord LX 1.5T,33,1,0,0,1,0,0,1
Cadillac XT6 AWD Sport,35,1,1,1,1,1,0,1
RAM 1500 Big Horn,34,1,1,1,0,1,0,0
Toyota Sienna XLE,39,0,1,0,0,1,0,0
Cadillac Escalade Platinum Edition,25,0,0,1,0,0,1,0
Audi Q7 2.0T Premium,39,0,1,0,1,1,0,1
Acura TLX Advance,29,0,1,1,1,1,0,0
Lexus GX 460 460,46,0,0,0,0,0,0,1
Toyota Tacoma,26,1,1,1,0,0,0,0
Lexus ES 350 Luxury,38,0,1,0,0,0,1,0
Chevrolet Tahoe RST,25,1,1,1,1,0,0,0
Porsche Cayenne GTS,41,1,0,1,1,1,1,1
Mercedes-Benz GLS 450 GLS 450,47,0,1,1,1,0,1,1
BMW X5 xDrive50i,26,0,0,1,1,1,1,1
Kia Optima LX,49,1,0,1,1,0,1,1
Audi Q8 3.0T Prestige,29,0,0,1,1,0,0,0
Audi A5 2.0T Premium,41,0,1,0,1,0,0,1
Audi A3 2.0T Premium Plus,37,0,1,1,0,1,1,0
BMW 328d xDrive,48,0,0,1,0,1,1,0
Acura TLX w/Technology Package,44,1,1,1,0,0,0,0
Volvo S60 T6 Inscription,33,0,1,0,1,0,1,1
Chevrolet Suburban RST,50,0,0,0,1,1,1,1
Porsche Taycan Turbo S,49,1,1,0,0,1,1,1
Toyota Tundra,42,0,1,1,0,0,1,1
Ford Mustang Mach-E Select,47,1,1,1,0,0,0,0
Acura MDX 3.5L w/Technology Package,28,1,1,1,1,1,1,1
Hyundai Santa Fe SE,42,0,1,1,1,1,1,1
BMW X3 xDrive28i,32,1,1,0,1,1,1,1
Porsche Cayenne AWD,30,1,0,1,0,1,0,0
Acura TLX V6 w/Technology Package,34,1,1,1,1,0,0,1
Toyota Camry SE,34,0,0,1,1,1,1,0
Porsche Cayenne,31,0,1,0,1,1,1,0
Subaru Outback 3.6R Touring,34,1,0,0,0,1,0,0
Nissan Rogue SL,35,1,1,1,0,1,1,0
Cadillac XT5 Luxury,37,0,0,0,1,0,1,0
Mercedes-Benz S-Class S 450,33,1,1,0,1,0,1,0
Chevrolet Cruze LTZ,50,1,0,1,0,1,0,0
Audi A5 2.0T Premium Plus,26,1,0,0,0,1,1,0
Chevrolet Trailblazer LS,38,0,1,1,1,1,0,1
Porsche Macan Base,44,0,0,1,0,1,0,1
Audi Q8 Premium,50,1,1,1,1,1,1,0
Kia Telluride EX,39,0,1,0,1,1,0,0
Volvo XC90 T6 Momentum,37,1,1,1,0,1,0,0
Alfa Romeo Giulia Ti,37,1,1,0,0,0,0,1
Porsche Panamera Sport Turismo Turbo,27,1,0,0,0,0,0,1
FIAT 500L Easy,50,0,0,1,1,1,1,0
Tesla Model S Plaid,34,0,0,0,0,1,1,1
Cadillac CTS Premium,46,0,0,0,0,1,0,0
Mercedes-Benz E-Class E 400,48,1,0,0,1,1,1,0
Cadillac DTS,25,0,0,0,1,0,0,1
Toyota Camry LE,48,1,1,1,1,0,1,1
Mercedes-Benz G-Class G 63 AMG,41,1,1,1,0,0,0,1
Honda Accord Sport 1.5T,37,1,0,0,1,0,1,0
Dodge Dakota Big Horn/Lone Star,49,1,0,1,0,0,0,0
Toyota Tundra Grade,49,0,1,1,1,0,0,0
Volvo XC60 T6,46,1,0,1,1,0,0,1
Mercedes-Benz AMG GLC 43 Base 4MATIC,37,0,1,0,0,1,0,0
Kia Forte FE,41,1,0,1,0,0,0,1
Mercedes-Benz A-Class A 220 4MATIC,35,0,0,0,0,1,1,0
Honda CR-V EX,39,0,1,0,1,0,1,1
Cadillac CTS Performance,42,0,0,0,1,0,0,1
Chrysler 200 Limited,30,1,1,1,1,0,1,1
GMC Sierra 3500 Denali,30,1,0,1,0,1,0,0
Subaru BRZ Limited,39,0,1,0,1,1,1,1
Subaru Forester Premium,27,1,0,0,0,0,0,1
Lexus ES 350,49,0,1,0,1,1,1,1
Toyota RAV4 Limited,34,0,0,1,1,1,1,1
INFINITI Q50 Base,25,0,1,0,1,1,0,1
INFINITI QX30 Premium,33,0,0,1,1,1,1,1
BMW X1 sDrive28i,50,1,0,0,0,1,1,1
Subaru Outback Touring XT,29,1,0,1,0,1,1,1
Jaguar XJ XJL Portfolio,44,1,1,1,0,0,1,0
Ford Expedition EL Limited,41,0,1,0,0,0,1,1
Honda HR-V Sport,30,1,1,1,1,0,0,0
Volkswagen Golf R 4-Door,39,1,1,0,0,0,1,1
BMW X2 M35i,39,1,1,0,1,0,0,1
BMW X5 PHEV xDrive45e,32,1,0,1,1,0,0,0
Lincoln Navigator Black Label,31,0,1,1,1,1,1,1
BMW X3 xDrive30i,25,0,0,0,1,1,1,1
Mercedes-Benz C-Class C 300,49,0,0,0,0,0,0,1
Chevrolet Suburban Premier,34,0,1,0,1,1,0,1
Chrysler 300C Base,29,1,0,1,1,1,0,1
Jeep Grand Cherokee L Overland,25,0,0,1,0,1,1,0
Mercedes-Benz A-Class A 220,25,0,1,1,0,0,1,1
Mercedes-Benz CLA 250 CLA 250,26,1,0,1,1,0,1,1
Kia Cadenza Technology,37,0,0,1,1,1,0,0
BMW 128 128i,33,1,1,1,0,1,0,1
Audi Q3 2.0T Premium Plus,49,0,1,0,1,1,1,1
Hyundai Kona SEL,46,1,0,1,1,0,1,1
INFINITI QX80,42,1,1,1,0,0,0,1
BMW M550 M550i xDrive,39,0,0,0,1,0,0,1
Lamborghini Huracan LP610-4,32,1,1,0,1,1,1,1
Volkswagen Tiguan 2.0T SE R-Line Black,41,1,0,0,1,1,1,1
Subaru Outback 2.5i Limited,25,1,1,1,1,1,1,1
Lincoln Navigator L Reserve,27,1,0,1,1,0,1,1
Land Rover Range Rover Velar P380 SE R-Dynamic,41,1,1,1,0,0,1,0
BMW X3 sDrive30i,35,1,0,0,0,1,1,0
Audi A3 2.0T Prestige,41,0,0,1,0,1,1,1
BMW X3 M40i,49,1,0,0,0,0,1,0
Acura ILX w/Premium Pkg,32,0,1,0,1,1,1,1
Chevrolet Silverado 1500 1LT,35,0,1,1,0,0,0,0
Chevrolet Equinox 1LT,33,0,1,1,1,1,1,0
Volkswagen Tiguan 2.0T SEL Premium R-Line,34,1,0,1,0,1,1,0
Honda Civic LX,40,1,1,1,1,1,1,1
Nissan Altima 2.5 Platinum,33,1,1,0,0,0,1,1
Subaru WRX STI Base,32,0,1,0,0,0,1,1
BMW M5 Competition,39,0,1,1,1,1,0,1
Hyundai Kona Ultimate,47,1,0,0,0,0,0,0
GMC Acadia SLE,27,0,0,0,0,1,0,1
Cadillac Escalade ESV Premium Luxury,39,1,0,1,1,0,0,1
Chevrolet Corvette Grand Sport,47,1,0,1,1,1,0,1
Nissan Altima 2.5 SL,36,1,1,0,0,1,1,0
Jeep Grand Cherokee Limited,50,0,1,1,1,1,0,0
Mazda CX-9 Grand Touring,33,1,1,0,1,1,1,1
Kia Optima SX Turbo,43,0,0,1,0,1,0,1
GMC Sierra 1500 AT4,26,1,0,0,0,0,1,1
Lincoln Navigator Base,29,0,0,0,1,0,1,1
Mercedes-Benz GLC 300 4MATIC Coupe,26,0,1,1,1,0,0,1
Lincoln Corsair Reserve,41,0,1,0,0,1,1,1
Honda Odyssey EX-L,37,0,1,1,0,0,0,1
Jeep Wrangler X,28,0,0,1,0,1,0,1
Land Rover Range Rover Evoque SE,25,1,1,0,1,1,1,0
Audi A6 2.0T quattro Sport,50,1,1,0,0,1,0,0
Toyota RAV4 Sport,31,1,1,1,0,0,1,1
Land Rover Range Rover,43,1,0,1,0,1,1,0
Chevrolet Blazer Premier,27,1,1,0,0,1,0,1
Volvo XC60 T6 Momentum,50,0,1,1,0,0,0,0
GMC Acadia SLT-1,41,1,1,1,1,0,1,0
Toyota Avalon XSE,33,0,1,0,1,0,0,0
Ford Fusion SE,34,1,1,1,0,1,0,1
INFINITI QX50 Base,29,0,0,0,1,1,0,0
Volvo XC60 T5 Momentum,25,1,0,1,0,0,0,0
Ford F-150 XLT,27,1,1,0,0,0,1,0
Kia Seltos SX,34,1,1,1,0,0,0,1
Toyota Sienna LE,30,0,1,0,0,0,1,0
Cadillac Escalade Premium,29,1,0,1,0,0,0,0
Lexus RX 350L L,48,0,1,1,1,0,1,0
Nissan Rogue Sport SV,46,0,0,1,0,0,0,0
Hyundai Sonata SEL,48,0,0,1,1,1,1,0
Acura ILX,46,1,0,0,0,0,0,0
Mercedes-Benz GLB 250 Base,31,1,0,0,1,1,1,0
Mazda Mazda6 Sport,25,1,0,0,0,1,0,1
Audi SQ5 3.0T Premium Plus,35,1,1,0,0,0,1,0
